Date,NO2_Mean
01-01-2018,
02-01-2018,
03-01-2018,
04-01-2018,
05-01-2018,
06-01-2018,
07-01-2018,
08-01-2018,
09-01-2018,
10-01-2018,
11-01-2018,
12-01-2018,
13-01-2018,
14-01-2018,
15-01-2018,
16-01-2018,
17-01-2018,
18-01-2018,
19-01-2018,
20-01-2018,
21-01-2018,
22-01-2018,
23-01-2018,
24-01-2018,
25-01-2018,
26-01-2018,
27-01-2018,
28-01-2018,
29-01-2018,
30-01-2018,
31-01-2018,
01-02-2018,
02-02-2018,
03-02-2018,
04-02-2018,
05-02-2018,
06-02-2018,
07-02-2018,
08-02-2018,
09-02-2018,
10-02-2018,
11-02-2018,
12-02-2018,
13-02-2018,
14-02-2018,
15-02-2018,
16-02-2018,
17-02-2018,
18-02-2018,
19-02-2018,
20-02-2018,
21-02-2018,
22-02-2018,
23-02-2018,
24-02-2018,
25-02-2018,
26-02-2018,
27-02-2018,
28-02-2018,
01-03-2018,
02-03-2018,
03-03-2018,
04-03-2018,
05-03-2018,
06-03-2018,
07-03-2018,
08-03-2018,
09-03-2018,
10-03-2018,
11-03-2018,
12-03-2018,
13-03-2018,
14-03-2018,
15-03-2018,
16-03-2018,
17-03-2018,
18-03-2018,
19-03-2018,
20-03-2018,
21-03-2018,
22-03-2018,
23-03-2018,
24-03-2018,
25-03-2018,
26-03-2018,
27-03-2018,
28-03-2018,
29-03-2018,
30-03-2018,
31-03-2018,
01-04-2018,
02-04-2018,
03-04-2018,
04-04-2018,
05-04-2018,
06-04-2018,
07-04-2018,
08-04-2018,
09-04-2018,
10-04-2018,
11-04-2018,
12-04-2018,
13-04-2018,
14-04-2018,
15-04-2018,
16-04-2018,
17-04-2018,
18-04-2018,
19-04-2018,
20-04-2018,
21-04-2018,
22-04-2018,
23-04-2018,
24-04-2018,
25-04-2018,
26-04-2018,
27-04-2018,
28-04-2018,
29-04-2018,
30-04-2018,
01-05-2018,
02-05-2018,
03-05-2018,
04-05-2018,
05-05-2018,
06-05-2018,
07-05-2018,
08-05-2018,
09-05-2018,
10-05-2018,
11-05-2018,
12-05-2018,
13-05-2018,
14-05-2018,
15-05-2018,
16-05-2018,
17-05-2018,
18-05-2018,
19-05-2018,
20-05-2018,
21-05-2018,
22-05-2018,
23-05-2018,
24-05-2018,
25-05-2018,
26-05-2018,
27-05-2018,
28-05-2018,
29-05-2018,
30-05-2018,
31-05-2018,
01-06-2018,
02-06-2018,
03-06-2018,
04-06-2018,
05-06-2018,
06-06-2018,
07-06-2018,
08-06-2018,
09-06-2018,
10-06-2018,
11-06-2018,
12-06-2018,
13-06-2018,
14-06-2018,
15-06-2018,
16-06-2018,
17-06-2018,
18-06-2018,
19-06-2018,
20-06-2018,
21-06-2018,
22-06-2018,
23-06-2018,
24-06-2018,
25-06-2018,
26-06-2018,
27-06-2018,
28-06-2018,7.67E-05
29-06-2018,8.58E-05
30-06-2018,7.54E-05
01-07-2018,5.94E-05
02-07-2018,0.000102678
03-07-2018,6.00E-05
04-07-2018,0.000186677
05-07-2018,0.000185649
06-07-2018,0.000110782
07-07-2018,8.16E-05
08-07-2018,7.48E-05
09-07-2018,
10-07-2018,
11-07-2018,8.98E-05
12-07-2018,0.000112599
13-07-2018,0.00012345
14-07-2018,9.43E-05
15-07-2018,0.000119222
16-07-2018,0.000191182
17-07-2018,2.80E-05
18-07-2018,0.000195758
19-07-2018,7.25E-05
20-07-2018,
21-07-2018,0.000147233
22-07-2018,9.28E-05
23-07-2018,7.46E-05
24-07-2018,8.00E-05
25-07-2018,0.000194084
26-07-2018,8.21E-05
27-07-2018,0.000159496
28-07-2018,2.37E-05
29-07-2018,
30-07-2018,
31-07-2018,7.96E-05
01-08-2018,0.000104582
02-08-2018,0.000136789
03-08-2018,0.000230651
04-08-2018,5.37E-05
05-08-2018,0.000114351
06-08-2018,0.000167734
07-08-2018,0.000141094
08-08-2018,9.54E-05
09-08-2018,
10-08-2018,5.52E-05
11-08-2018,
12-08-2018,
13-08-2018,5.18E-05
